,GeneSymb,MeanPval,OR_a,OR_d,OR_s,Pval,Ya,Yd,Ys,Score
1127,IQCK,-2.267608015023516,-1.6865225766300485,-2.0521998252845615,0.7381997343268294,7.56433e-05,0.020166462524624527,0.008789538078481738,0.8455043932772446,0.6337168962471278
1888,SOX6,-2.5676763681485344,-3.9308158810458975,1.2608482809190222,-1.2326767420339724,0.000143742,0.00011725549179858542,0.9480049132360512,0.055287015013972006,0.6333974603807926
780,ACOX2,-1.786500193914154,-3.47732367159221,0.6283812247765455,1.2862754419594817,0.000805438,0.00033306703822941783,0.8095210737734146,0.9508163022042998,0.6328055961477133
1581,PRTG,-3.0832446169325634,-3.6088424394270855,2.6656793087738873,-4.523785201059359,5.37837e-05,0.00024606547479485036,0.9978453143785404,2.9936553329108152e-05,0.6304642531808556
696,SLC1A2,-3.152921951490708,3.139637275283412,-5.176984883055604,-3.639873612098752,4.13653e-05,0.9992754840389603,6.652918873041974e-06,0.00022910094428614934,0.6302574391001967
2009,LRP4,-1.5972549295316565,1.5597697276595435,1.0254058587005082,-3.5985319294107354,0.000276831,0.9731821229828772,0.9138112392053483,0.0002519756795695031,0.6297347409240476
1267,SEC63,-2.913832754708523,0.619402538723544,-5.586668795707785,0.0023401797359486774,5.09373e-05,0.8063127660071956,2.590180797574336e-06,0.5013471124842214,0.6294286978128795
1576,LACC1,-2.331210210446885,-2.464514159652504,-1.2505299101059375,0.48757572468882865,0.000347259,0.0034197794927415624,0.05317874554875491,0.7544863417171184,0.627693714378507
415,ARHGAP22,-2.830270391672837,-10.870060263144204,4.760356855662943,1.381737503862695,0.000141028,1.3487757120975834e-11,0.9999826365666864,0.9601347330333885,0.6271408785666575
221,KIAA1191,-2.1242746842201523,1.545918112089051,-1.3879671175642325,-2.769729007077093,0.00076776,0.9723370357180694,0.039319836714822365,0.00169642092616857,0.626841006684697
1211,BCAT1,-2.5408210192319927,0.5017317572799443,-2.940646016580345,-1.4482487992357589,6.15153e-05,0.7604740204688459,0.0011451341676142395,0.03439923633560453,0.6225499998599697
1101,RIC3,-2.2771428841654493,0.047172229385233355,-1.6583027901337228,-1.5031748318439817,8.99328e-05,0.5271278523477463,0.021491261971405586,0.030436956352393206,0.6195205433173128
1635,UBE3C,-3.3255382941015426,-2.1182433302392987,-4.894601783699633,0.7455483597616376,2.9498e-05,0.007558948560640164,1.2746550781234463e-05,0.8477018074029266,0.6182196880212223
255,CDR2L,-1.9649546726217813,0.37167769005995893,-2.5322841590491705,-0.032041610221541006,0.00194194,0.7017864905303479,0.0029271349029191584,0.48156372853199214,0.6170359897757652
104,CD40,-1.7958493268548987,-4.562500568769756,3.912591898647569,-1.0570727652139111,0.00138807,2.7383410607496817e-05,0.9998777201231612,0.08061650015795199,0.6134277575380997
745,ENG,-1.844470123133824,-3.271508120875744,3.840313105221911,-2.424900115234722,0.00047665,0.0005348838926359811,0.999855581054399,0.00374515959436558,0.6128858730854863
1866,TRIM65,-2.0305071814175326,0.7347266445610866,-0.19591949338598583,-2.9556219801386105,0.0017033,0.8444568716278797,0.3890941988629406,0.0011063620412946657,0.6124511192148481
851,CTSC,-2.4841062454029808,2.9598822282683157,-1.528146131896502,-5.215311695805175,0.000201004,0.9989044260199863,0.028785194120182635,6.090958758308294e-06,0.6114571894625968
958,BOK,-1.9840868124962372,-3.720045275116704,-0.6047117242990954,2.029411434344437,0.000985791,0.0001904899151188911,0.19902485472451098,0.9907413249091962,0.6094858120695583
527,VPS13C,-2.9564608640485255,-1.0475878524671989,0.5068395018220664,-4.674517071304872,6.03109e-05,0.08225011021100816,0.7626097609153526,2.1157957470042403e-05,0.6090195283659287
1287,HHATL,-2.0764206754974706,0.25890179107498607,0.42350829786540123,-3.2625632582940836,0.000477529,0.644773483173926,0.7261475738684124,0.0005460086819726203,0.6081848095231193
903,PTAFR,-2.0324089456630343,0.014189916845221376,-5.715271653522807,3.251128853689457,0.00189743,0.508167646143592,1.9263159023415207e-06,0.9994394328720478,0.6078789923334957
1649,GNPTAB,-2.1406004203748075,0.5891849141871586,-1.285074352905203,-2.0810974878869897,0.000160207,0.7952144349777823,0.049313191968504255,0.008228377158801566,0.6074690557532314
1820,JAM3,-2.40449927689461,0.9531598501127788,-1.7270657625908057,-2.8035995513022893,5.82537e-05,0.8997754137962145,0.018402119615680546,0.0015693447381113991,0.6059987278172522
1129,EDIL3,-2.7287619077695004,-3.2476050715279285,1.4481723897368175,-2.7600797782214435,0.000108566,0.0005651313834546852,0.9655949191959389,0.0017344680244261064,0.6044622105493246
694,SLC1A7,-1.9161310238243365,-1.609805956085231,-0.5411643344788455,0.028614869827554606,0.00021748,0.023969416948227365,0.22337997982512053,0.5164660866550113,0.6043396084560813
204,PHACTR3,-2.898967096311533,-2.676833006247631,0.2898090171921912,-2.6847813488048033,0.000205629,0.002100167548127383,0.6609005444683269,0.00206215897298779,0.6041826585123925
1926,SLC30A3,-1.9123082975487786,-0.33038828806806325,-2.4191058030485766,0.6330071305247665,0.000245113,0.31848407449374405,0.003795271034571915,0.8111580938622432,0.6034063220090771
1280,MT1F,-1.9499315476395196,-2.4693520791646577,-0.10426069247424713,0.3262066012353037,0.00139823,0.0033820236269748354,0.44026931818328374,0.6794223565536266,0.600398078752493
1536,ST18,-2.350287475796207,-2.3830379558036965,-1.5287381013346326,0.4627679673518202,0.000365555,0.004122569012177965,0.028747112053503776,0.743752133933886,0.6003090562670187
1051,FADS2,-2.039887478216532,-3.774302020614455,-2.5115908091990664,3.7613660649508796,0.000199766,0.00016812215907983555,0.0030695453493356792,0.9998267956851757,0.5991892782978256
1877,NRF1,-2.804426556713175,1.811390509968236,-1.2353151973270304,-5.4005634836572085,0.000213038,0.9847960722265152,0.05497055754478611,3.975893929810255e-06,0.5981319165205871
1963,B4GALT1,-1.7745159735268203,-4.469260795138538,3.363587859586394,-0.6361571208776056,0.000307619,3.3940986752191936e-05,0.9995672628660475,0.18773337510971577,0.5969529773584519
1651,SV2A,-2.117774752442985,0.11735575082723317,-2.5909799039321784,-0.30455673959189933,0.000518019,0.5671473072303421,0.0025580423430789615,0.33153119831581707,0.5958572274386851
1431,MYOM1,-3.0904493898307277,-6.425011670526917,-0.874733361154834,1.6013717770884361,9.52113e-05,3.7582716353199665e-07,0.11772545752181879,0.9755720198272109,0.5954958191498113
2102,THBS1,-2.4530368484378404,-3.9389433434593215,-2.2523447330126922,2.4014753537897437,0.000245834,0.0001150818074668287,0.005562025393916032,0.9960481089635326,0.5948829704385419
416,ARHGAP21,-2.678637247613768,-0.04965251273903368,-2.518492347453645,-1.9035886402871824,8.24192e-05,0.47144880905592795,0.0030212977927865647,0.012331686645550571,0.5940297070602405
2159,BTN2A2,-1.758481158334143,-2.6703342502004634,-0.15289376922995365,1.1091062526288111,0.000631314,0.0021317631400146076,0.412885168327776,0.9278291592661083,0.5935536180334706
232,VASN,-2.407927662522841,-4.820677204312556,3.7553441775768293,-2.6003682236103147,0.000283632,1.511180123412844e-05,0.9998243777471312,0.0025034744764598034,0.5930136228704136
2098,PDHX,-3.4023706561045843,-5.994415582554547,-1.0935504289549283,0.42641722293189926,4.09988e-05,1.0129405975530692e-06,0.07460639654503562,0.7274775098509652,0.5909271966226963
2042,HLA-DRB5,-1.615492418321886,1.1435756606885943,-2.1938575907194435,-0.2534051438196035,0.000229532,0.9329667169461449,0.006358753944656766,0.35813065177031744,0.5904650301858675
675,KLF2,-2.197510671598048,-2.3051694911140306,-1.4998453845776485,0.7486842573273553,0.000696859,0.004928161644057056,0.030664010362001795,0.8486316823396863,0.5893668994049701
1777,PKP1,-2.3453012765822776,-0.6463000870394995,-4.396565245875255,1.5280940571354216,6.03311e-05,0.18419791982316414,4.012521085623076e-05,0.9712114535096256,0.58685542566125
473,ABCG1,-2.506162492229268,2.76326076632175,-1.9283476149153975,-4.837041156023991,0.000152571,0.9982781678726881,0.011656291165601955,1.4552999808887843e-05,0.5860599120116942
1019,GCH1,-2.3766758085916972,-1.9414091367987136,-2.1759421864550723,0.4878468100322012,9.41779e-05,0.011314851890724223,0.006624775078846668,0.754601947556097,0.5834204854255846
625,LHFPL2,-3.106718624626566,0.9502251044912493,-4.772443850647946,-1.998190540312968,4.65496e-05,0.8991643765053343,1.688685659894107e-05,0.009941917007888794,0.5832910979016722
2164,GLI3,-2.5241574933540747,0.358503935136427,-3.298952549931607,-1.134687238749913,0.000135417,0.6953995843503027,0.0005021452008948861,0.06832464278843857,0.5828894377528552
1906,CTNNA2,-2.3503927944072367,-3.7049162015200605,-1.1696558362279337,1.3038310254789305,0.000607371,0.00019724142394333196,0.06337389797724494,0.9526725997330954,0.5800728951587745
1030,NAGA,-1.8755930335742486,-3.825839612855766,-2.208824574114438,3.8740518315089147,0.000956681,0.00014931228330277018,0.006144670464312685,0.9998663742574132,0.5776944575435761
488,FAM120A,-2.6162009070634418,-3.4960803850540327,1.7893078572564847,-2.698214753511779,0.000223493,0.00031899292875028814,0.9840156801374239,0.0019994751738655584,0.573935906646833
