,Gene,Y0h,Y0l,Y1h,Y1l,Y3h,Y3l
2808,ENSG00000107593,0.1163182523593027,0.026070574893705366,9.75624978977122e-07,1.8744808828733428e-08,0.25932644585920483,0.2436350643636315
2809,ENSG00000107611,0.5849093297660806,0.08940473806200999,9.631479566965818e-06,1.7254235248534941e-06,0.04590515486252114,1.8371128666886936e-05
2810,ENSG00000107614,0.3427799671375598,0.0010621135635963941,1.3522730543658783e-13,9.747254282908663e-15,5.2233176433660473e-05,8.617264789438585e-08
2811,ENSG00000107625,0.5848498267661257,0.08932352567991154,0.0001940975031655696,0.006045499544370397,3.930635717581714e-06,5.684120226034983e-16
2812,ENSG00000107643,0.3393817135452193,0.003374667454763197,0.006296877533493924,0.0005299249002908923,8.935979345756706e-06,2.4831668717023075e-13
2813,ENSG00000107651,0.3315431134677367,0.0008140073500649299,4.352364510101992e-12,1.144803233728028e-14,0.006569185220994635,2.959741443092865e-07
2814,ENSG00000107669,0.33106843007342057,0.00042209721983691665,4.605522879764259e-12,2.5612455312600255e-13,0.08774310086764862,0.004347332250015833
2815,ENSG00000107672,0.5847308133436703,0.0891613004968849,0.0015579237874067389,0.02518209228951758,0.0001722623387307934,8.485053027680549e-05
2816,ENSG00000107679,0.3525519172484651,0.0003520965086007561,1.0386664049774874e-09,4.1075045332621367e-14,0.01912039991411922,0.0003433072711690296
2817,ENSG00000107719,0.5846713029244353,0.0890802876131821,0.00014576806015258127,0.012625588225832193,0.05957757858409016,0.9999995952290428
2818,ENSG00000107731,0.1972263207808993,0.9980612035993868,0.34879411829110285,0.9999839773844869,0.12765713137631302,0.8976493398446125
2819,ENSG00000107736,0.09814390952467952,0.988578810583615,0.00012148727621265129,3.133666957120456e-05,0.07645861014537791,0.08553959021703524
2820,ENSG00000107738,0.5845820326651673,0.08895889280599566,0.002205020987514141,4.042068814137447e-05,0.07209764172320357,0.0038194191757062483
2821,ENSG00000107742,0.5845522746781173,0.08891846105447349,7.675038780373399e-13,4.1492390735112467e-23,0.2581208145191102,0.44194577928652184
2822,ENSG00000107745,0.5029749062921905,0.03521055990727529,1.1864352385189798e-05,2.369877048074757e-08,0.3741999515986448,0.6240951773070457
2823,ENSG00000107758,0.07081785956240444,0.010953123112813332,0.006470908373598688,0.0013673729754456936,0.5300391550130269,0.4546701760385412
2824,ENSG00000107771,0.00013573746015562975,6.181934581214995e-08,0.8215416209749027,0.9999996182750914,0.10534082135096275,0.0010836991763028543
2825,ENSG00000107779,0.3842989422108214,0.9981960803808081,0.0002926917866682535,0.0004983532153817091,0.1408542558206998,0.028733699844307733
2826,ENSG00000107789,0.5844034754973539,0.08871655094564795,0.005669035340821542,0.0016386788477104907,2.0484575147485975e-05,6.720184209250838e-11
2827,ENSG00000107796,0.8359165654063386,0.9946765167871142,0.0014672067266882668,0.999707701649132,0.6230680402786076,0.9999777826729942
2828,ENSG00000107798,0.584343951514289,0.0886359028416694,0.7379799148965157,0.9999246940834597,0.8226828045308997,0.9998066473740402
2829,ENSG00000107815,0.005249160523944985,0.000655755529099742,0.018036793046121775,0.002930941837072107,0.005229385298250787,9.680495958590933e-07
2830,ENSG00000107816,0.3067795018261027,0.006239432881663889,0.018303803238888486,0.9994638381168662,0.5111862249092349,0.9865383543811973
2831,ENSG00000107819,0.5110666126522534,0.0935715025612745,0.0004602112271549036,8.822021169912476e-05,0.9019240719718498,0.9999771707640329
2832,ENSG00000107829,0.0023378206158415583,6.819177424579411e-07,9.884023005935627e-19,3.440166900173863e-25,0.0660261862702243,0.0003894461970046489
2833,ENSG00000107833,0.44887166875789336,0.06626833422674187,3.7949058446128024e-13,7.484027420748477e-19,0.02107570738498172,1.889745694839276e-05
2834,ENSG00000107854,0.7694145138912755,0.9998916690418607,5.151599221349896e-06,2.796913496104038e-09,0.18843748751119008,0.20275598989247243
2835,ENSG00000107862,0.49939751004030136,0.05254762341441482,8.360252310534022e-06,8.55805839812192e-06,0.0009698861242633414,2.20911289904821e-08
2836,ENSG00000107863,0.24120507997043797,0.0026542755733428773,0.6513388318622417,0.9999908639681544,0.30836366892204353,0.7735400151727548
2837,ENSG00000107864,0.3748580733586842,0.0045177809495704985,0.00037748687466097056,4.985940125870069e-08,0.45965474723066646,0.9496078049821279
2838,ENSG00000107872,0.5840462947190862,0.08823365433099571,7.890135632132157e-06,0.00014954772167221584,0.00020653355283205637,1.0977010045083345e-09
2839,ENSG00000107874,0.5840165256637833,0.08819352029086269,6.012908438548739e-06,1.0900709228332848e-10,0.0016213902540725877,5.304507525260592e-10
2840,ENSG00000107882,0.8356979545637517,0.9946420580234797,0.008521192056972035,0.014249146127985461,0.8672503446077741,0.9999627067067028
2841,ENSG00000107890,0.7661368446472617,0.8949535703150692,0.00011977064373058164,0.2917444982521515,0.012397127108253473,0.010473731928409967
2842,ENSG00000107897,0.6289810264847884,0.9233379506147711,5.810966929998534e-07,1.7634581705363269e-06,0.5538122547415257,0.5426142923261608
2843,ENSG00000107902,0.03321518906410932,3.99574244745538e-08,0.00010132772809286183,3.175253505525772e-08,0.40218447754176856,0.14219127575192833
2844,ENSG00000107929,0.3267852385243975,0.0004752015174823869,3.9741410853133084e-11,1.1777610503241637e-12,0.0026675136067534403,9.741157796920478e-07
2845,ENSG00000107937,0.8403231413453793,0.9153014141205704,2.514991708257219e-13,2.2025292913275714e-12,0.004814293073832547,3.603629212737132e-05
2846,ENSG00000107938,0.560867879355188,0.18207412547517482,1.9733744264710218e-05,0.00019304428059034747,5.242462458479191e-09,8.469091188108106e-19
2847,ENSG00000107949,0.7210192420305714,0.19508194704537357,6.868235962184704e-12,9.421679020983585e-12,0.033804641474249324,0.00048765052977334304
2848,ENSG00000107951,0.001228802954827204,1.1691108651386487e-05,0.02137764406950225,0.9986040814267254,0.862200390313226,0.9992310027174748
2849,ENSG00000107954,0.583718801431683,0.08779308600831813,6.369535003694862e-18,3.229900420189677e-16,0.36535423601446115,0.9192478637220969
