,Gene,Y0a,Y0b,Y1a,Y1b,Y3a,Y3b
4304,ENSG00000123091,0.05890216881131351,0.0741949195710786,2.914547498290523e-15,6.234866595707702e-12,0.0013048179224828416,0.004617623025958976
4305,ENSG00000123094,0.000710304640476179,0.01013234370611548,4.0040394680983884e-08,1.737314746136705e-08,0.9975281870669747,0.9951190698248726
4306,ENSG00000123095,0.713672654732918,0.26021550309002695,1.5501022105657686e-25,6.568093592282167e-20,0.0001924783051884324,0.0004970711303302027
4307,ENSG00000123096,0.24471898166906964,0.07718556465995524,6.777720790920314e-05,0.0008117332291294584,1.2230769589976908e-05,0.00010065740188727522
4308,ENSG00000123104,0.3956883381726727,0.20288232870128028,4.6457782872859034e-12,2.379006849089024e-10,0.000521428345381612,0.0009068987852840198
4309,ENSG00000123106,0.035965562692537395,0.008596804163865239,2.1806405974122227e-06,4.315869575549145e-06,0.011058318930305152,0.0008991730252097156
4310,ENSG00000123119,0.03895942948168411,0.04249285944768372,0.06250003912931719,0.10656501415689977,0.7639352281996503,0.7444070669526659
4311,ENSG00000123124,2.240286490345166e-08,2.5749223558960515e-05,2.8501318994422754e-14,3.74821850364148e-12,0.11988156396211577,0.13778616307828426
4312,ENSG00000123130,1.0994635974521174e-07,6.747131078018173e-05,7.546423634520764e-09,6.927515733032777e-08,0.19727380799084557,0.16776351179329113
4313,ENSG00000123131,0.05881757037597604,0.07412738938926725,0.0003789518005919149,0.00368488085342131,0.34033206224534085,0.5106906985907674
4314,ENSG00000123136,0.004781025024366562,0.06735445407085656,0.00013679504376182088,0.0007558373637037145,8.531325512564386e-07,1.961976895034773e-05
4315,ENSG00000123143,0.9753559278486125,0.9938582595602731,0.010927796119120604,0.02539034450642134,0.35672331850823413,0.36049502899049773
4316,ENSG00000123144,0.058789396219983095,0.07410489189662427,8.959575198373457e-05,0.00016679018229983272,5.881298796227511e-06,2.1869324825327745e-05
4317,ENSG00000123146,0.05878000764669246,0.0740973941283934,2.8171037102409686e-11,4.271078404730211e-09,0.034967814387186165,0.03619172759109109
4318,ENSG00000123154,0.05341425684646786,0.044566271373203514,9.781027192944352e-07,3.6248780525616635e-05,3.5398305548267505e-10,8.933242428178532e-09
4319,ENSG00000123159,0.04977949741302141,0.06671509016774325,2.4709171523919854e-11,4.661286753937616e-10,1.4993389659171416e-09,3.743113589842362e-08
4320,ENSG00000123178,0.01195457045719485,0.008754487906582474,0.034075371581225866,0.17440506545088605,0.0047105137722149755,0.007566262046279964
4321,ENSG00000123179,0.05874246740891592,0.07406741003398258,8.949042504305468e-05,0.00016654583499805357,7.778948192967722e-17,2.0718934263544265e-15
