,Gene,Y0a,Y0b,Y1a,Y1b,Y2a,Y2b,Y3a,Y3b
13956,ENSG00000265241,0.0037236039107806334,0.0037236039107806334,8.499235126848033e-06,8.499235126848033e-06,0.005271601371305484,0.005271601371305484,3.42940151777765e-05,3.42940151777765e-05
13957,ENSG00000265298,0.0037227101299626406,0.0037227101299626406,4.867575396115052e-28,4.867575396115052e-28,1.2301212439534846e-06,1.2301212439534846e-06,4.615420503051802e-06,4.615420503051802e-06
13958,ENSG00000265354,0.00372181656287842,0.00372181656287842,1.698023681970709e-15,1.698023681970709e-15,4.1567539956386484e-05,4.1567539956386484e-05,3.887921821557149e-05,3.887921821557149e-05
13959,ENSG00000265452,0.00036583751635597175,0.00036583751635597175,4.464644551879633e-14,4.464644551879633e-14,0.0004162508888358879,0.0004162508888358879,8.113325002380484e-07,8.113325002380484e-07
13960,ENSG00000265491,3.783949933033917e-08,3.783949933033917e-08,0.1502855500074938,0.1502855500074938,6.086502928391833e-06,6.086502928391833e-06,5.509443625329275e-05,5.509443625329275e-05
13961,ENSG00000265579,0.00371913714352114,0.00371913714352114,1.3426984454891428e-08,1.3426984454891428e-08,0.0007467251138410253,0.0007467251138410253,0.18115531734392093,0.18115531734392093
13962,ENSG00000265763,0.00016239832955828337,0.00016239832955828337,0.29394425063470103,0.29394425063470103,2.731807213689799e-07,2.731807213689799e-07,0.010936827024627643,0.010936827024627643
13963,ENSG00000265787,0.0018523794637916697,0.0018523794637916697,5.485884982214405e-12,5.485884982214405e-12,0.0006471207335710366,0.0006471207335710366,1.252976046677836e-07,1.252976046677836e-07
13964,ENSG00000265791,0.0037164596459423145,0.0037164596459423145,4.951325572030274e-15,4.951325572030274e-15,9.048279071753055e-05,9.048279071753055e-05,2.208159528503211e-12,2.208159528503211e-12
13965,ENSG00000265808,0.003715567573574778,0.003715567573574778,8.47951456778279e-06,8.47951456778279e-06,4.923814500875841e-05,4.923814500875841e-05,2.4230640927969197e-21,2.4230640927969197e-21
13966,ENSG00000265972,9.84175780986838e-12,9.84175780986838e-12,6.460633518974673e-12,6.460633518974673e-12,0.13650093811390393,0.13650093811390393,3.819752587804053e-07,3.819752587804053e-07
13967,ENSG00000266028,0.0008728988165090192,0.0008728988165090192,6.82577179320963e-13,6.82577179320963e-13,4.818564275216592e-06,4.818564275216592e-06,1.4801395282671576e-10,1.4801395282671576e-10
13968,ENSG00000266053,0.00371289263623937,0.00371289263623937,8.472951221503166e-06,8.472951221503166e-06,3.840255335184383e-06,3.840255335184383e-06,2.410717686698236e-18,2.410717686698236e-18
13969,ENSG00000266074,0.00036319913752901566,0.00036319913752901566,6.224176975046908e-16,6.224176975046908e-16,3.9263441055828286e-07,3.9263441055828286e-07,1.8578694351289144e-10,1.8578694351289144e-10
