,Unnamed: 0,GeneSymb,MeanPval,OR,Pval,Y,Score (OR*MV),Score,Evidence
181,12,APLP2,-2.497129853,0.847204493,5.84E-05,0.875529536,2.115579632,-2.115579631,0
182,196,PLCG2,-2.547161642,0.799632669,0.000211019,0.863093198,2.036793662,-2.036793662,1
183,50,EMILIN2,-1.9999604,1.014905529,0.000754156,0.911887831,2.029770869,-2.029770868,0
184,168,POU6F1,-1.900491055,1.039611556,0.000152158,0.916352845,1.975772463,-1.975772463,0
185,145,MYO1F,-2.046726053,0.92886559,0.00023068,0.894616783,1.901133402,-1.901133403,0
186,182,FERMT2,-2.127880731,0.871607705,0.000182841,0.881524949,1.854677239,-1.85467724,1
187,263,RASA2,-2.278386533,0.797380021,0.000102567,0.86247914,1.816739902,-1.816739902,0
188,56,ACSL1,-2.192198619,0.801621179,0.000165343,0.863633335,1.757312841,-1.757312842,0
189,53,RBM48,-1.977558272,0.880313939,0.000656994,0.883602655,1.740872112,-1.740872112,0
190,142,TMEM130,-2.225183531,0.763744873,0.000454425,0.853032674,1.699472514,-1.699472513,0
191,123,SSSCA1,-1.966504476,0.852362813,0.00203697,0.876818151,1.676175288,-1.676175287,0
192,164,AFMID,-1.929380024,0.842120643,0.000508987,0.874248227,1.624770747,-1.624770746,0
193,141,ABHD17A,-2.34353133,0.679907481,0.000502353,0.827147561,1.593384483,-1.593384483,0
194,155,SORL1,-3.044614145,0.509031904,9.86E-05,0.763522454,1.549805735,-1.549805735,1
195,151,TRIM59,-2.125455318,0.727135106,0.000826909,0.842147012,1.545493179,-1.545493178,0
196,115,ANKRD26,-2.824768529,0.534710559,8.68E-05,0.77403143,1.510433559,-1.510433559,0
197,60,TLR2,-2.520852351,0.570808409,0.000395535,0.788237643,1.43892372,-1.43892372,0
198,106,TMEM98,-2.230172712,0.639392581,0.000252489,0.813400018,1.425955887,-1.425955886,0
199,32,NABP1,-2.2378679,0.618315468,0.00157498,0.805921555,1.383708339,-1.383708338,0
200,80,DTD1,-2.688660627,0.512959313,0.000133925,0.765151363,1.379173508,-1.379173508,0
201,66,HSD11B1,-2.129846202,0.645699945,0.000149411,0.815594336,1.375241575,-1.375241575,0
202,180,CCDC34,-2.165006737,0.622804609,0.000678151,0.807533217,1.348376175,-1.348376174,0
203,230,PRDM5,-2.717878102,0.481181524,0.000143222,0.751748859,1.307792728,-1.307792727,0
204,44,GNG5,-1.753263786,0.744539049,0.000826028,0.847401525,1.305373352,-1.305373352,0
205,254,HLA-DQB1,-2.336729801,0.555743183,0.000104066,0.782389507,1.298621659,-1.298621657,0
206,67,SLC2A5,-2.245667254,0.562909614,0.000183674,0.785185863,1.264107686,-1.264107687,0
207,74,ADARB2,-2.626446795,0.475291013,0.000272857,0.749208989,1.248326558,-1.248326558,0
208,29,C3orf14,-2.147964799,0.580836938,0.00122783,0.792066408,1.247617297,-1.247617297,0
209,198,CLGN,-2.167952831,0.574813852,0.000499074,0.789773024,1.246169318,-1.246169318,0
210,4,ERGIC3,-1.93067562,0.635513483,0.00166595,0.812040526,1.226970389,-1.226970388,0
211,162,PSEN1,-2.387507531,0.508187923,0.000143408,0.763171393,1.213302493,-1.213302493,1
212,6,RAPGEF5,-2.470098315,0.478233176,0.000170479,0.750479747,1.181282961,-1.181282962,0
213,258,SGSM1,-2.926595738,0.402183183,7.22E-05,0.716275465,1.17702759,-1.177027589,0
214,272,MBD6,-2.296191328,0.500905844,6.84E-05,0.760127441,1.150175655,-1.150175655,0
215,215,BIRC6,-2.72179882,0.418358294,0.000115194,0.723783147,1.138687111,-1.138687111,0
216,270,UCP2,-2.187982923,0.520315896,0.000600284,0.768181559,1.138442295,-1.138442295,0
217,167,HBEGF,-2.08265563,0.537875136,0.000786693,0.775303379,1.12020868,-1.12020868,0
218,214,TMEM258,-2.155366098,0.515538865,0.000592054,0.766217004,1.111174992,-1.111174992,0
219,76,TTLL7,-2.052831471,0.533519972,0.007248,0.773551576,1.095226588,-1.095226589,0
220,81,FAM102A,-2.050828245,0.519992478,0.000103693,0.768048918,1.066415262,-1.066415261,0
221,78,NCSTN,-2.052239068,0.517368424,0.00125734,0.766970775,1.061763692,-1.061763692,0
222,257,FGFR1OP,-2.71485095,0.386765303,7.56E-05,0.709005728,1.050010149,-1.05001015,0
223,33,LIPA,-1.993928618,0.521272198,0.000334897,0.768573451,1.039379554,-1.039379553,0
224,264,PLEKHG3,-2.113600991,0.455971934,0.000186491,0.740758419,0.963742731,-0.963742732,0
225,95,LAYN,-1.996642819,0.475035833,0.0003877,0.749098571,0.948476885,-0.948476885,0
226,250,ADAMTSL3,-2.637134608,0.350744152,0.000108158,0.691601737,0.924959542,-0.924959542,0
227,179,SPRYD3,-2.107365122,0.428262524,0.000405185,0.728319069,0.902505507,-0.902505506,0
228,212,NCKAP1L,-1.873603728,0.458277942,0.000412779,0.74177678,0.85863126,-0.858631261,0
229,23,ARHGEF1,-2.141227284,0.381863298,0.000502788,0.706671492,0.817656113,-0.817656112,0
230,240,ZNF248,-2.684876877,0.285122395,4.13E-05,0.658477902,0.765518526,-0.765518525,0
231,8,MYL3,-2.141209207,0.356597255,0.00036384,0.69446884,0.763549326,-0.763549326,0
232,197,RTKN2,-2.76503351,0.274374372,6.04E-05,0.652890773,0.758654334,-0.758654333,0
233,57,FBXL5,-2.570246615,0.290336932,6.98E-05,0.661172914,0.746237517,-0.746237517,0
234,193,DICER1,-2.354458731,0.301309985,0.00022968,0.666809918,0.709421924,-0.709421925,0
235,121,MTFR1,-2.857518718,0.248036358,6.05E-05,0.639022681,0.708768536,-0.708768536,0
236,17,ADAMTS1,-2.554877792,0.270225555,0.000717018,0.650722679,0.690393269,-0.690393269,0
237,219,CPEB2,-2.723551787,0.24919725,0.000125739,0.639639052,0.678701617,-0.678701616,0
238,233,CPNE4,-2.84485753,0.237009056,0.000107841,0.63314517,0.674256998,-0.674256998,0
239,231,RGL1,-2.674268661,0.243263136,0.000119623,0.636483561,0.650550982,-0.650550981,0
240,101,HTR2A,-2.155980457,0.285791624,0.000141171,0.658824355,0.616161156,-0.616161156,0
241,191,CNNM3,-1.29254707,0.442208159,0.00919675,0.734626105,0.57157486,-0.57157486,0
242,86,IFIT3,-2.167482702,0.260371899,0.000168603,0.645548417,0.564351588,-0.564351587,0
243,45,MYLIP,-2.397944708,0.233200352,0.000503714,0.631105804,0.55920155,-0.55920155,0
244,7,PTK2B,-3.02397166,0.174625217,4.86E-05,0.599189562,0.528061707,-0.528061707,0
245,242,VPS13C,-2.956460864,0.176148458,6.03E-05,0.600031609,0.520776023,-0.520776022,0
246,77,ANO2,-2.7283402,0.190819719,8.27E-05,0.608110963,0.52062111,-0.52062111,0
247,252,PSME4,-1.054495843,0.49185227,0.0108423,0.756305814,0.518656175,-0.518656174,0
248,149,PHLDA3,-2.086224042,0.246572858,0.00125834,0.638244989,0.514406224,-0.514406224,0
249,169,BCO1,-2.694865336,0.177824519,0.000162983,0.600957452,0.479213133,-0.479213132,0
250,68,CIB1,-2.24266819,0.209539968,9.27E-05,0.618334171,0.469928621,-0.469928621,0
251,173,NKD1,-2.247321013,0.208435934,0.000640104,0.617734055,0.468422455,-0.468422454,0
252,61,KCNJ6,-2.761058826,0.162648483,0.000125621,0.592548779,0.44908203,-0.44908203,0
253,88,SUCO,-2.177759345,0.202111353,0.000228491,0.614289349,0.440149889,-0.440149888,0
254,27,ARHGAP25,-2.975963844,0.14416245,8.86E-05,0.582232868,0.42902224,-0.429022239,0
