,GeneSymb,MeanPval,OR,Pval,Y,Score
110,TKT,-1.9316992596277909,-6.507048331844642,5.94883e-05,3.1113690910492793e-07,8.613661679517671
111,NLK,-1.7133715558653908,0.37518049304992324,0.00253376,0.7034717047834219,15.714218208174636
112,FDFT1,-1.5931029692364898,-2.499551699325057,0.00123241,0.003155554562483178,12.959754602428557
113,NLN,-2.575630300438865,-2.9634198079124214,0.000102552,0.0010866958023345555,11.513359162638817
114,GSG1L,-2.991936651128199,0.5281806216010494,0.000162523,0.771390747429503,14.588653241462954
115,IGFBP5,-2.554794596489192,-7.447105736554394,0.000134063,3.5718585168784325e-08,7.050508937946518
116,PHLDB1,-1.86390887579614,-3.2381453905380386,0.00039383,0.0005775687697573354,11.950355004655925
117,EPS8L2,-1.4140994891228156,-2.1857006106855827,0.00403936,0.006478532545892754,13.452609171181706
118,TRIM9,-3.0978274228263585,-1.5888318998072648,0.000164428,0.025125618315039937,12.36574994835648
119,PFN1,-1.952067043984571,0.07806531269150674,0.00141543,0.5448173974599658,15.178407539697039
120,CREM,-2.5858952401972037,-2.5187069092123138,6.10642e-05,0.0030198100056658106,11.947807121580587
121,COX10,-2.9385863436170783,-3.864621638877325,6.91585e-05,0.00013655859832990394,10.249201288495701
122,TRIM3,-2.1600033687852576,-3.728304525865056,0.0006054,0.00018690214945315758,11.16410137633979
123,PIGU,-1.8245258639565545,-4.1248314409343925,0.00130903,7.50129042376094e-05,11.103051966099157
124,PDGFRB,-2.1813447695813997,-2.049938648791052,0.000136788,0.008835015227694944,12.821125852617651
125,TMC6,-2.0527625765609407,-1.6477336948568522,0.00185498,0.022009042272738057,13.351912999572312
126,MFNG,-2.115254976719676,-0.46074239836683545,0.000996686,0.25713777268914373,14.476411895903592
127,FAM168A,-2.201867390925593,-2.4696602416724884,8.05778e-05,0.003379632801845909,12.380881638392022
128,RPLP1,-2.2565545164155294,-0.08169536227416407,0.00116788,0.45311055516304705,14.71415939230041
129,PRKAR2B,-2.3908735585297496,-3.86434901827029,6.84482e-05,0.00013664433574565573,10.797186694190064
130,TRADD,-1.4663564807845524,-2.431541251600076,0.00504824,0.0036885347257726024,13.154511538605476
131,ENKUR,-2.7014143769887733,-4.136063246096047,7.76157e-05,7.309791788416228e-05,10.214931647905285
132,FBXW9,-2.467226494576816,-2.3123682626344935,0.00015363,0.004847539521068475,12.272814513778794
133,CIB1,-2.242668189885942,-3.704322514110069,9.26989e-05,0.00019751118717028143,11.105418566994093
134,PRIMA1,-2.1921170168100197,-2.700770121952839,0.000250883,0.0019877682164619673,12.159522132227245
135,THYN1,-1.8495807737626748,-4.8250094203251175,0.00410848,1.4961808155436438e-05,10.377819076902313
136,TRIO,-2.5410821409287383,-3.6688749716566624,0.000138838,0.00021430482392557874,10.842452158404704
137,CELSR3,-1.9356556635281248,-3.161720168004692,0.000333053,0.0006886216369423653,11.955033439457289
138,SNRNP40,-2.3294513008591173,-6.697170651621755,6.95605e-05,2.008303111674523e-07,8.025787318509233
139,TMEM145,-2.247391897093987,-1.555471609346191,0.000320119,0.02707738312278883,13.249545764549925
140,SLCO1A2,-2.117429380664595,-0.46705545960729433,0.0002194,0.2543708837940815,14.467924430718215
141,TJP1,-2.278291548122882,-0.5408925551630693,0.000148914,0.22348856238867293,14.233225167704152
142,BUD13,-2.117445549764423,-0.9370487033756351,0.000532424,0.10361997148690452,13.997915017850046
143,SOWAHB,-2.350723912524899,-4.206416303291157,0.00050397,6.21665401073142e-05,10.495269055174049
144,HLA-DPA1,-2.8239248994222548,0.35054073921610696,5.38983e-05,0.6915018288231061,14.579025110783956
145,TUB,-2.0024612836329623,0.6534991804388451,0.000265549,0.8182799904436284,15.703447167795987
146,KIAA1191,-2.1242746842201523,-1.507620028229124,0.00076776,0.030136350215360354,13.420514558540827
147,ST6GAL1,-2.9155515266606677,1.5970427759136907,5.88645e-05,0.9753333429642419,15.733900520243127
148,CHPF2,-2.2110588116422134,0.9817511342094855,0.00172619,0.905558007512268,15.823101593557375
149,NFYB,-1.9998202418743065,-1.9361467587439105,0.000531186,0.011451209243818282,13.116442270371888
150,CLGN,-2.1679528313542553,-1.0104258277477831,0.000499074,0.0889444829189569,13.874030611888067
